parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,rain,84012,84017,84023,84032,84038,84124,84148,84165,85114,85116,max,coef,noppt,lin,cap,n,sublim,trncf,radmax,adj,sq,exp,thresh,frac,rate,allsnow
adjmix_rain:hru_84012:mon_1,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_10,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_11,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_12,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_2,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_3,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_4,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_5,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_6,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_7,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_8,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_9,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_1,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_10,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_11,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_12,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_2,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_3,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_4,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_5,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_6,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_7,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_8,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_9,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_1,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_10,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_11,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_12,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_2,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_3,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_4,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_5,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_6,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_7,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_8,log,factor,1.0,0.8,1.2,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
